Aaron, Hank
Abagnale, Frank
Babbage, Charles
Babbitt, Milton
Cabell, James
Caesar, Irving
Daley, Richard J.
Dali, Salvador
Eastwood, Clint
Ebadi, Shirin
Farjeon, Eleanor
Farmer, Frances
Galtieri, Leopoldo
Gandhi, Indira
Haldeman, Joe
Haley, Alex
Ingersoll, Robert G.
Ionesco, Eugene
Jaffe, Bob
James, Donald
Karenga, Ron
Karzai, Hamid
Landers, Ann
Landor, Walter
Maathai, Wangari
MacArthur, Douglas
O'Donnell, Rosie
Ogi, Adolf
Palme, Olof
Parker, Dorothy
Quarles, Francis
Qarase, Laisenia
Tannen, Deborah
Tate, Sharon
Satriani, Joe
Sawyer, Diane
Varese, Edgard
Ventura, Jesse
Wall, Larry
Wallace, Alan
Yorke, Thom
Yoshida, Takeo
Zinn, Howard
Zola, Emile
Radner, Gilda
Rae, Pramod
